# Generated on 2026-04-09T06:22:12.308Z from https://www.tofugu.com/japanese-grammar/
id	href	title	gloss
particle-yori-from	https://www.tofugu.com/japanese-grammar/particle-yori-from/	Particle より: A Formal Version of 〜から (From)	より is a formal version of the particle から (from).
sentence-ending-particle-wa	https://www.tofugu.com/japanese-grammar/sentence-ending-particle-wa/	Particle わ	わ is a sentence-ending particle that reflects your perception or sentiment based on personal observation and/or experience.
particle-wo	https://www.tofugu.com/japanese-grammar/particle-wo/	Particle を	を tells us what the direct object of a sentence is. In other words, it marks the thing that gets affected by the verb.
personal-pronouns	https://www.tofugu.com/japanese-grammar/personal-pronouns/	Personal Pronouns	Personal pronouns are used to refer to people from various perspectives: the first person (I, we), the second person (you), and the thi…
plural-suffix	https://www.tofugu.com/japanese-grammar/plural-suffix/	Plural Suffixes	Plural suffixes attach to the end of nouns to indicate that they are plural.
plural-and-quantity	https://www.tofugu.com/japanese-grammar/plural-and-quantity/	Plural and Quantity	The ways we express plurality and quantity are different in Japanese and English. In Japanese, we use quantifiers, plural suffixes, and…
question-words	https://www.tofugu.com/japanese-grammar/question-words/	Question Words	Questions words are words like 何 (what), いつ (when), and なぜ (why). They are used for asking questions.
second-person-pronouns	https://www.tofugu.com/japanese-grammar/second-person-pronouns/	Second-Person Pronouns	Second-person pronouns are words like "you" that a speaker uses to refer to their audience.
verb-stem-form-conjugation	https://www.tofugu.com/japanese-grammar/verb-stem-form-conjugation/	Stem Form	The stem form is a type of Japanese verb form also known as V-stem form, and 〜ます form—this last name comes from the fact that it can be…
third-person-pronouns	https://www.tofugu.com/japanese-grammar/third-person-pronouns/	Third-Person Pronouns	Third-person pronouns are words like "he" and "she." They are used for people who are neither "I" nor "you."
transitivity	https://www.tofugu.com/japanese-grammar/transitivity/	Transitive and Intransitive Verbs	Transitive verbs describe actions that happen to something else. Intransitive verbs describe actions that happen by themselves.
verb-conjugation-groups	https://www.tofugu.com/japanese-grammar/verb-conjugation-groups/	Verb Conjugation	Japanese verbs have different conjugation patterns depending on what type they are — godan, ichidan, or irregular. Learn all about verb…
verb-plain-present-form	https://www.tofugu.com/japanese-grammar/verb-plain-present-form/	Verb Plain Present る Form	The plain form of a Japanese verb (aka the dictionary form or the る form) is used to talk about both the present and future.
verb-sou	https://www.tofugu.com/japanese-grammar/verb-sou/	Verb そう	Adding 〜そう to a verb is the equivalent of "looks like (someone or something) is going to do something" in English.
kamoshirenai	https://www.tofugu.com/japanese-grammar/kamoshirenai/	〜かもしれない	〜かもしれない follows a sentence and expresses "uncertainty."
kotogaaru	https://www.tofugu.com/japanese-grammar/kotogaaru/	〜ことがある	By adding 〜ことがある to a word in the plain, non-past form, you can talk about what you do on occasion.
verb-causative-form-saseru	https://www.tofugu.com/japanese-grammar/verb-causative-form-saseru/	〜させる (Causative)	When a verb ends in 〜させる, it tells us that someone is forced to do the action, or allowed to do the action, depending on context. For t…
shi	https://www.tofugu.com/japanese-grammar/shi/	〜し	し is often used to add emphasis to a list of parallel or sequential fields, much as "and what's more" or "not only...but also..." in En…
janai-dewanai	https://www.tofugu.com/japanese-grammar/janai-dewanai/	〜じゃない・〜ではない	Adding 〜じゃない or 〜ではない to the end of a noun or a な-adjective makes it negative, similar to the way "not" functions in English. Between t…
verb-past-ta-form	https://www.tofugu.com/japanese-grammar/verb-past-ta-form/	〜た (Past, Plain)	The suffix 〜た puts a plain form verb into the past tense. It tells us that the verb is completed or happened before the present moment.…
tai-form	https://www.tofugu.com/japanese-grammar/tai-form/	〜たい (Desire)	〜たい is a verb suffix that adds a meaning of desire. Use it to say "I want to do [this verb]."
tagaru-form	https://www.tofugu.com/japanese-grammar/tagaru-form/	〜たがる	〜たがる is used to say that someone is "showing signs of wanting to do" something. Use it to say what other people want to do.
takotogaaru	https://www.tofugu.com/japanese-grammar/takotogaaru/	〜たことがある	When 〜たことがある follows the past tense, it expresses what you've experienced in the past.
conditional-form-tara	https://www.tofugu.com/japanese-grammar/conditional-form-tara/	〜たら	〜たら is a conditional form. Depending on the context, it can express time sequence like "when/after" and conditions like "if."
tarisuru	https://www.tofugu.com/japanese-grammar/tarisuru/	〜たりする	〜たりする is used to list actions and states. It indicates the list is incomplete, meaning that there are more things speakers could list.
tearu	https://www.tofugu.com/japanese-grammar/tearu/	〜てある	Used with a verb that expresses intentions, 〜てある describes a current state that's the result of a past action done by somebody, usually…
teiku-tekuru	https://www.tofugu.com/japanese-grammar/teiku-tekuru/	〜ていく・〜てくる	〜ていく and 〜てくる can express a gradual process that takes place over time. While 〜ていく focuses on the starting point of the process, 〜てくる f…
verb-past-continuous-form-teita	https://www.tofugu.com/japanese-grammar/verb-past-continuous-form-teita/	〜ていた	〜ていた is the past tense version of 〜ている. This form puts emphasis on the duration of a past action.
verb-continuous-form-teiru	https://www.tofugu.com/japanese-grammar/verb-continuous-form-teiru/	〜ている	Depending on the verb that 〜ている is used with, it can describe an ongoing action, or a current state that's the result of a past action.…
teoku	https://www.tofugu.com/japanese-grammar/teoku/	〜ておく	〜ておく follows a verb and generally adds the nuance that you do the action in advance for future convenience.
tehoshii	https://www.tofugu.com/japanese-grammar/tehoshii/	〜てほしい	〜てほしい expresses that you want someone to do something or something to happen.
temiru	https://www.tofugu.com/japanese-grammar/temiru/	〜てみる	〜てみる follows the stem form of a verb and expresses an exploratory nuance, as in "to try doing something" to find out more about it.
temoii	https://www.tofugu.com/japanese-grammar/temoii/	〜てもいい	〜てもいい is a phrase that expresses permission, concession, or approval.
toiu	https://www.tofugu.com/japanese-grammar/toiu/	〜という	〜という is a phrase with a wide array of functions, but it always denotes that what it's marking is based on hearsay or something that's s…
toki	https://www.tofugu.com/japanese-grammar/toki/	〜とき (When)	The Japanese word とき means "time," and can function like "when" in English to create a time clause, such as "when I was a child."
na	https://www.tofugu.com/japanese-grammar/na/	〜な For ''Don't...!''	When な is added to the plain form of a verb, it marks a strong negative imperative. It's like very strongly saying "Don't…!" in English…
verb-negative-nai-form	https://www.tofugu.com/japanese-grammar/verb-negative-nai-form/	〜ない (Negative, Plain)	When 〜ない appears on the end of a verb, it means it is in the negative plain form. In other words, it has a similar function to "not".
verb-negative-past-nakatta-form	https://www.tofugu.com/japanese-grammar/verb-negative-past-nakatta-form/	〜なかった (Negative, Past)	〜なかった is the past tense negative plain form of verbs. It adds the meaning of "did not do [verb]" to a sentence.
nagara	https://www.tofugu.com/japanese-grammar/nagara/	〜ながら (Contrast)	ながら for contrasting clauses is used to describe two contradictory situations, and is often translated as "although."
verb-nagara	https://www.tofugu.com/japanese-grammar/verb-nagara/	〜ながら (Simultaneous Actions)	ながら is used to indicate that two actions take place simultaneously. It is similar to "while" in English.
verb-imperative-form-nasai	https://www.tofugu.com/japanese-grammar/verb-imperative-form-nasai/	〜なさい (Polite, Command)	〜なさい is a suffix that is used to make polite commands or directions. While polite, it still implies a sense of authority.
nikui	https://www.tofugu.com/japanese-grammar/nikui/	〜にくい	〜にくい is a verb suffix that means "difficult to do (the verb)."
verb-conditional-form-ba	https://www.tofugu.com/japanese-grammar/verb-conditional-form-ba/	〜ば (Conditional)	The suffix 〜ば puts verbs into the conditional form. In other words, it adds an "if" meaning to a sentence.
masu	https://www.tofugu.com/japanese-grammar/masu/	〜ます	When a verb ends in 〜ます, it shows that you are speaking politely.
yasui	https://www.tofugu.com/japanese-grammar/yasui/	〜やすい	〜やすい is a verb suffix that means "easy to do (the verb)."
verb-volitional-form-you	https://www.tofugu.com/japanese-grammar/verb-volitional-form-you/	〜よう (Volitional)	〜よう is a verb suffix that expresses volition, proposition, or invitation, akin to "let's" or "shall we?" in English.
verb-passive-form-rareru	https://www.tofugu.com/japanese-grammar/verb-passive-form-rareru/	〜られる (Passive)	The passive suffix 〜られる tells us that a verb is done to someone. It takes the emphasis off of who does the action, and places it on who…
verb-potential-form-reru	https://www.tofugu.com/japanese-grammar/verb-potential-form-reru/	〜れる (Potential)	〜れる appears on the end of a verb show ability or possibility, similarly to "can" or "be able to" in English.
juu	https://www.tofugu.com/japanese-grammar/juu/	〜中（じゅう）	中（じゅう） follows a location or time-specific word to mean "everything within the area" or "all throughout the period of time," respective…
chuu	https://www.tofugu.com/japanese-grammar/chuu/	〜中（ちゅう）	中（ちゅう）follows another word to mean "in the middle of," as in 食事中 (in the middle of eating) or to mean "during," as in 会議中 (during the m…
amarinai	https://www.tofugu.com/japanese-grammar/amarinai/	あまり〜ない	あまり〜ない indicates that the degree or extent of something is not high or great, as in "not very" or "not much."
i-adjective-past-form-katta	https://www.tofugu.com/japanese-grammar/i-adjective-past-form-katta/	い-Adjective かった (Past Tense Form)	〜かった allows you to make い-adjectives past tense, in a similar way to "was" in English.
i-adjective-garu	https://www.tofugu.com/japanese-grammar/i-adjective-garu/	い-Adjective がる	い-adjectives can take the suffix 〜がる to describe how other people seem to feel, based on how they look or behave. This lets you state w…
i-adjective-ku-form	https://www.tofugu.com/japanese-grammar/i-adjective-ku-form/	い-Adjective く Form	This page teaches you how to put an adjective into the くform and provides basics of its three usages.
i-adjective-negative-form-kunai	https://www.tofugu.com/japanese-grammar/i-adjective-negative-form-kunai/	い-Adjective くない (Negative Form)	Adding 〜くない to the end of an い-adjective makes it negative, kind of like how "not" functions in English.
i-adjective-conditional-form-kereba	https://www.tofugu.com/japanese-grammar/i-adjective-conditional-form-kereba/	い-Adjective ければ	Adding 〜ければ to the end of an い-adjective makes it conditional, similar to using "if" or "when" in English.
i-adjective	https://www.tofugu.com/japanese-grammar/i-adjective/	い-Adjectives	い-adjectives are one type of adjective in Japanese. Their main function is to describe nouns, and they can take different ending to cha…
i-adjective-ku-form-adverb	https://www.tofugu.com/japanese-grammar/i-adjective-ku-form-adverb/	い-Adjectiveく (Adverb Form)	The く form can be used to turn い-adjectives into adverbs, in a similar way to "-ly" in English.
i-adjective-ku-form-linking	https://www.tofugu.com/japanese-grammar/i-adjective-ku-form-linking/	い-Adjectiveく (Linking)	The く form of い-adjectives allows you to combine words and clauses together.
i-adjective-ku-form-noun	https://www.tofugu.com/japanese-grammar/i-adjective-ku-form-noun/	い-Adjectiveく (Noun)	A few い-adjectives that relate to time or location can be used like nouns in their く form.
iru-aru	https://www.tofugu.com/japanese-grammar/iru-aru/	いる・ある	The Japanese verbs いる and ある mean things like “to be” or “to exist” and can often be used in a similar way to “there is” and “there are…
uchi	https://www.tofugu.com/japanese-grammar/uchi/	うち	うち is a word that means “inside,” as opposed to “outside.” When it’s used with other grammar elements, like 〜のうち or 〜のうちに, it indicates…
kudasai	https://www.tofugu.com/japanese-grammar/kudasai/	ください	ください indicates a direct request while paying respect to the speaker. By adding it to a verb in its て form, you can request that someone…
kurai	https://www.tofugu.com/japanese-grammar/kurai/	くらい	くらい (or ぐらい) signifies approximation. It follows another word or phrase and indicates that something is around a certain amount or leve…
kureru-ageru-morau	https://www.tofugu.com/japanese-grammar/kureru-ageru-morau/	くれる・あげる・もらう	あげる and くれる are Japanese words for "to give," and もらう means "to receive/get." When speaking from the giver's perspective, you use あげる. …
koitsu-soitsu-aitsu-doitsu	https://www.tofugu.com/japanese-grammar/koitsu-soitsu-aitsu-doitsu/	こいつ・そいつ・あいつ・どいつ	こいつ, そいつ, あいつ, and どいつ are a set of こそあど言葉 (ko-so-a-do words). These words are used to refer to people, but they're very informal, and …
kou-sou-aa-dou	https://www.tofugu.com/japanese-grammar/kou-sou-aa-dou/	こう・そう・ああ・どう	こう, そう, ああ, and どう are a set of こそあど言葉 (ko-so-a-do words). They come before an adjective or a verb to specify the way the adjective or …
koko-soko-asoko-doko	https://www.tofugu.com/japanese-grammar/koko-soko-asoko-doko/	ここ・そこ・あそこ・どこ	ここ, そこ, あそこ, and どこ are a set of こそあど言葉 (ko-so-a-do words). They are equivalent to "here," "there," and "over there" in English. どこ is …
kosoado	https://www.tofugu.com/japanese-grammar/kosoado/	こそあど言葉 (Ko-So-A-Do Words)	こそあど言葉 (ko-so-a-do words) are a series of Japanese words that can be used to refer to things, people and locations. The word you choose…
kochira-sochira-achira-dochira	https://www.tofugu.com/japanese-grammar/kochira-sochira-achira-dochira/	こちら・そちら・あちら・どちら	こちら, そちら, あちら, and どちら, along with their contractions こっち, そっち, あっち, and どっち, are a set of こそあど言葉 (ko-so-a-do words). They refer primar…
koto	https://www.tofugu.com/japanese-grammar/koto/	こと (事)	こと basically means "thing." It's a versatile word for intangible, abstract things — ideas, events, experiences, and many others. こと can…
konata-sonata-anata-donata	https://www.tofugu.com/japanese-grammar/konata-sonata-anata-donata/	こなた・そなた・あなた・どなた	こなた, そなた, あなた and どなた are a set of こそあど言葉 (ko-so-a-do words). The first three all mean "you," though only あなた is still in use today, an…
kono-sono-ano-dono	https://www.tofugu.com/japanese-grammar/kono-sono-ano-dono/	この・その・あの・どの	この, その, あの, and どの are a set of こそあど言葉 (ko-so-a-do words). They are placed before nouns to give information about their location in rel…
kore-sore-are-dore	https://www.tofugu.com/japanese-grammar/kore-sore-are-dore/	これ・それ・あれ・どれ	これ, それ, あれ, and どれ are a set of こそあど言葉 (ko-so-a-do words). They are equivalent to "this one," "that one," and "that one over there" in …
konna-sonna-anna-donna	https://www.tofugu.com/japanese-grammar/konna-sonna-anna-donna/	こんな・そんな・あんな・どんな	こんな, そんな, あんな, and どんな are a set of こそあど言葉 (ko-so-a-do words). They all get placed before a noun to indicate what that noun is like.
sasuga	https://www.tofugu.com/japanese-grammar/sasuga/	さすが	Used for both compliments and contradictions, さすが always adds the nuance that something is inevitable.
sugiru	https://www.tofugu.com/japanese-grammar/sugiru/	すぎる	すぎる follows other verbs and adjectives and signifies that there's too much of something.
suru	https://www.tofugu.com/japanese-grammar/suru/	する	する basically means "to do," but it is incredibly versatile and goes beyond its English equivalent.
da	https://www.tofugu.com/japanese-grammar/da/	だ	だ marks nouns and な-adjectives as present tense and positive, but it can also add an emphatic nuance in some contexts.
dake	https://www.tofugu.com/japanese-grammar/dake/	だけ	だけ means "only" and indicates the limitation or extent of something.
datta	https://www.tofugu.com/japanese-grammar/datta/	だった	だった is a plain form past tense marker, typically used with nouns and な-adjectives.
darou	https://www.tofugu.com/japanese-grammar/darou/	だろう	Often translated as "probably," "I assume," or "I believe," だろう is used to speculate based on your interpretation of something.
tsumori	https://www.tofugu.com/japanese-grammar/tsumori/	つもり	つもり expresses the speaker's predetermined intention.
te-form	https://www.tofugu.com/japanese-grammar/te-form/	て Form	The て form links actions, events, and states. The relationship between linked words can be different depending on the context.
deshita	https://www.tofugu.com/japanese-grammar/deshita/	でした	でした is a polite past tense marker, typically used with nouns and な-adjectives.
deshou	https://www.tofugu.com/japanese-grammar/deshou/	でしょう	でしょう is used to speculate based on your interpretation of something, though you lack proof. It's often translated as "perhaps," "I assu…
desu	https://www.tofugu.com/japanese-grammar/desu/	です	です is used to mark words as polite if they cannot conjugate to show politeness themselves.
na-adjective	https://www.tofugu.com/japanese-grammar/na-adjective/	な-Adjectives	な-adjectives are one type of adjective in Japanese. Their main function is to describe nouns, but many can function as nouns themselves…
conditional-form-nara	https://www.tofugu.com/japanese-grammar/conditional-form-nara/	なら	なら is a conditional particle. It means something like "if"  in English.
naru	https://www.tofugu.com/japanese-grammar/naru/	なる	なる is equivalent to the English verb "to become."
mada	https://www.tofugu.com/japanese-grammar/mada/	まだ	まだ means "still" and まだ〜ない means "not…yet."
mou-little-more	https://www.tofugu.com/japanese-grammar/mou-little-more/	もう (A Little More...)	もう suggests "a little more" than the current quantity or condition.
mou-already-not-anymore	https://www.tofugu.com/japanese-grammar/mou-already-not-anymore/	もう (Already / Not Anymore)	もう is the equivalent of "already" or "(not) any more" in English.
explanatory-nda-ndesu-noda-nodesu	https://www.tofugu.com/japanese-grammar/explanatory-nda-ndesu-noda-nodesu/	んだ・んです	んだ and its variants such as んです add an explanatory feel to a sentence. It’s often used to provide information in order to fill the gap …
naka	https://www.tofugu.com/japanese-grammar/naka/	中（なか）	中（なか）is a word for "inside." It can also mark items for comparison, as in "among" these things, or indicate the circumstances "in which…
mae-ushiro	https://www.tofugu.com/japanese-grammar/mae-ushiro/	前・後	前 and 後 mean "in front" and "behind" respectively when referring to space, and "before" and "after" when talking about time.
jibun	https://www.tofugu.com/japanese-grammar/jibun/	自分	自分 is a Japanese pronoun that means "self."
iku-kuru	https://www.tofugu.com/japanese-grammar/iku-kuru/	行く・来る	行く and 来る are Japanese words for "to go" and "to come." 行く indicates that the speaker's on the departure side of the movement, while 来る…
